"resource_id","resource_name","basketball_playlist_type","attribute_id","attribute_type","attribute_name","attribute_values"
9010,Deflection,6,6888,teamNames,Team,
9010,Deflection,6,6889,rosterAthletes,Athlete,
8876,You Clip,6,6712,list,Type,"[""FTM"",""FGM"",""3PM"",""assist"",""rebound"",""steal"",""block"",""good"",""bad"",""tag"",""drill""]"
8876,You Clip,6,6713,number,Athlete,
8876,You Clip,6,6714,text,Description,
8656,Plays,6,6251,list,Type,"[""spot up"",""transition"",""off ball screen"",""pick and roll"",""hand off"",""cut"",""isolation"",""post up"",""other""]"
8656,Plays,6,6252,teamNames,Team,
8656,Plays,6,6253,rosterAthletes,Athlete,
8656,Plays,6,6254,rosterAthletes,Athlete_Received,
8656,Plays,6,6255,rosterAthletes,Athlete_on_ball_defender,
8656,Plays,6,6256,rosterAthletes,Athlete_Screener_Defender,
8656,Plays,6,6258,chartPoint,Location,
8656,Plays,6,9733,list,Direction,"["""",""right"",""left""]"
8654,Highlight,6,6250,text,Comment,
8654,Highlight,6,8241,list,Quality,"[""Okay"",""Good"",""Great"",""""]"
8654,Highlight,6,15722,teamNames,Team,
8653,Jump ball,6,6241,teamNames,Team,
8653,Jump ball,6,6242,list,Type,"[""start period"",""unclear possession"",""lodged ball"",""held ball"",""block tie up"",""out of bounds"",""out of bounds rebound"",""double violation""]"
8653,Jump ball,6,6243,rosterAthletes,Won_By_Athlete,
8653,Jump ball,6,6244,rosterAthletes,Lost_By_Athlete,
2642,Off Ball (legacy),6,2916,teamNames,Team,
2642,Off Ball (legacy),6,2917,list,Type,"["""",""screen"",""movement"",""other""]"
2642,Off Ball (legacy),6,2918,list,Movement,"["""",""high"",""low"",""side""]"
2642,Off Ball (legacy),6,2919,list,Close_Out,"["""",""short"",""long""]"
2642,Off Ball (legacy),6,2920,rosterAthletes,Attacker,
2642,Off Ball (legacy),6,2921,rosterAthletes,Defender,
2640,On Ball (legacy),6,2886,teamNames,Team,
2640,On Ball (legacy),6,2887,list,Direction_Handler,"["""",""right"",""left"",""high"",""low"",""over"",""under"",""flare""]"
2640,On Ball (legacy),6,2888,list,Ball_Defense,"["""",""over"",""under"",""switch""]"
2640,On Ball (legacy),6,2889,list,Dir_Screener_Maker,"["""",""roll"",""pop"",""slip"",""fake""]"
2640,On Ball (legacy),6,2890,list,Screen_Rec_Defense,"["""",""hedge"",""drop"",""stay"",""help recover"",""switch""]"
2640,On Ball (legacy),6,2891,list,Area,"["""",""right"",""middle"",""left""]"
2640,On Ball (legacy),6,2892,list,Result,"["""",""2nd action"",""finish""]"
2640,On Ball (legacy),6,2893,rosterAthletes,Ball_Handler,
2640,On Ball (legacy),6,2894,rosterAthletes,Ball_Defender,
2640,On Ball (legacy),6,2895,rosterAthletes,Screener_Maker,
2640,On Ball (legacy),6,2896,rosterAthletes,Screen_Maker_Def,
2640,On Ball (legacy),6,2913,list,Type,"["""",""screen"",""movement"",""other""]"
2640,On Ball (legacy),6,2915,list,Screen,"["""",""down"",""back"",""side""]"
2255,Playing,6,2321,rosterAthletes,Athlete,
192,Shot,6,797,list,Type,"["""",""2"",""3"",""FT""]"
192,Shot,6,798,list,Result,"["""",""made"",""miss"",""blocked""]"
192,Shot,6,859,rosterAthletes,athlete,
192,Shot,6,860,rosterAthletes,assist,
192,Shot,6,893,rosterAthletes,blockedBy,
192,Shot,6,1195,teamNames,team,
192,Shot,6,2329,rosterAthletes,Defender,
192,Shot,6,2330,list,Description,"[""jumper"",""drive"",""tip in"",""dunk"",""layup"",""fade away"",""alley-oop"",""hook shot"",""floating jumper"",""stepback jumper"",""pullup jumper"",""turnaround jumper"",""wrong basket"",""1 of 1"",""1 of 2"",""1 of 3"",""2 of 2"",""2 of 3"",""3 of 3""]"
192,Shot,6,4388,chartPoint,Location,
192,Shot,6,6245,list,Qualifier,"[""2nd chance"",""fastbreak"",""from turnover"",""in the paint""]"
159,Foul,6,863,rosterAthletes,athlete,
159,Foul,6,892,teamNames,team,
159,Foul,6,6247,rosterAthletes,On,
159,Foul,6,6248,list,Type,"[""offensive"",""personal"",""technical"",""unsportsmanlike"",""disqualifying"",""bench technical"",""coach technical"",""admin technical"",""coach disqualifying""]"
159,Foul,6,6249,list,Description,"[""block"",""charge"",""double"",""flagrant1"",""flagrant2"",""shooting"",""looseball"",""class a"",""class b"",""contact deadball"",""lifting"",""direct"",""bench class a"",""bench class b"",""1 free throw"",""2 free throw"",""3 free throw"",""one and done""]"
158,Turnover,6,862,rosterAthletes,athlete,
158,Turnover,6,891,teamNames,team,
158,Turnover,6,910,teamNames,teamSteal,
158,Turnover,6,911,rosterAthletes,athleteSteal,
158,Turnover,6,2331,list,Type,"[""passing"",""ball handling"",""foul"",""violation"",""offensive goaltending"",""line violation"",""dribbling"",""double dribble"",""bad pass"",""lost ball"",""over and back"",""back court"",""out of bounds"",""travel"",""shotclock"",""offensive"",""lifting"",""3 sec"",""5 sec"",""8 sec"",""10 sec"",""24 sec""]"
157,Rebound,6,779,teamNames,team,"["""",""Home"",""Away""]"
157,Rebound,6,861,rosterAthletes,athlete,
157,Rebound,6,909,list,type,"[""offense"",""defense"",""Team Offense"",""Team Defense""]"
157,Rebound,6,2897,list,Boxing_Out,"["""",""challenged"",""unchallenged""]"
157,Rebound,6,2898,list,Result,"["""",""2nd action"",""finish""]"
157,Rebound,6,2899,rosterAthletes,Rebound_Allowed,
157,Rebound,6,6246,list,Description,"[""dead ball""]"
152,Possession,6,774,teamNames,team,"["""",""Home"",""Away""]"
152,Possession,6,2328,list,Type,"[""set play"",""oobb"",""oobs"",""transition"",""2nd chance""]"
152,Possession,6,2914,list,Defense,"["""",""man"",""zone"",""full court press"",""hard doubled"",""less than 5 sec""]"
150,Period,6,772,list,period,"["""",""1"",""2"",""3"",""4"",""OT""]"
